Song Number,Song Name,Artist Name,Album Name,Release Date,Popularity
284,Jeene Laga Hoon,Atif Aslam,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-07-19,79
285,O Saathi,Atif Aslam,"O Saathi (From ""Baaghi 2"")",2018-03-09,79
286,Tera Hone Laga Hoon,Atif Aslam,Best of Romance: Atif Aslam & Pritam,2023-04-20,75
287,Tu Jaane Na,Atif Aslam,Best of Romance: Atif Aslam & Pritam,2023-04-20,74
288,Pehli Dafa,Atif Aslam,Pehli Dafa,2017-01-06,78
289,Hona Tha Pyar,Atif Aslam,Bol (Original Motion Picture Soundtrack),2011-06-05,77
290,"Woh Lamhe Woh Baatein - From ""Zeher""",Atif Aslam,Best Old Songs,2024-06-14,72
291,O Meri Laila,Atif Aslam,Laila Majnu (Original Motion Picture Soundtrack),2018-10-30,76
292,Dil Diyan Gallan,Vishal-Shekhar,Tiger Zinda Hai,2017-12-12,70
293,Ajab Si,Vishal-Shekhar,Om Shanti Om,2007-09-18,78
294,Ishq Bulaava,Vishal-Shekhar,Hasee Toh Phasee (Original Motion Picture Soundtrack),2014-01-05,78
295,Chammak Challo,Vishal-Shekhar,Ra-One,2011-09-16,77
296,Khuda Jaane,Vishal-Shekhar,Bachna Ae Haseeno,2008-07-05,77
297,Bulleya,Vishal-Shekhar,Sultan,2016-05-31,76
298,Ishq Sufiyana (Male),Vishal-Shekhar,The Dirty Picture,2011-10-29,76
299,Bin Tere,Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),2010-05-25,75
300,Zehnaseeb,Vishal-Shekhar,Hasee Toh Phasee (Original Motion Picture Soundtrack),2014-01-05,74
301,Ishq Wala Love,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),2012-08-31,74
302,Greedy,POP,Hip-Hop NEW,2023-10-12,0
303,季节限定版 - 夏季篇,POP,季节限定版 (夏季篇),2023-07-25,0
